Jugador	16/06/2025	05/05/2025	28/04/2025	21/04/2025	14/04/2025	07/04/2025
Gita	11,94	11,79	11,75	11,7	11,7	11,6
Mik Bat	11,83	11,44	11,38	11,3	11,3	11,2
MALAGA	11,81	11,65	11,6	11,5	11,5	11,4
PequeñoPadawan	11,55	11,2	11,09
josmartini	11,14	11	10,97	10,9	10,9	10,8
Cal Kestis	11,13	10,53	10,46	10,4	10,3	10,3
Maath JTM Faselli	11,11	10,91	10,8	10,7	10,7	10,7
Mhann Uhdea	10,8	10,45	10,4	10,3	10,3	10,2
Josepatches	10,77	10,64	10,63	10,6	10,6	10,5
Hill	10,76	10,61	10,58	10,5	10,5	10,4
Viula Dourshe	10,71	10,55	10,53	10,5	10,4	10,4
Cente	10,7	10,33	10,31	10,2	10,2	10,2
R3CO	10,65	10,43	10,41	10,3	10,3	10,3
Blas	10,55	10,38	10,36	10,3	10,3	10,2
Mariskal101DA	10,53	10,34	10,31	10,2	10,2	10,2
Mou topor	10,45	10,35	10,33	10,3	10,3	10,2
VIRUS	10,44	10,3	10,3	10,2	10,2	10,1
Ben	10,42	10,23	10,21	10,1	10,1	10,1
MALAGA 2	10,35
Remus	10,33	10,16	10,16	10,1	10,1	10,1
GRANJEDI Tito1	10,17	10,04	10,03	10	9,9	9,9
Peleas	10,13	9,93	9,9	9,8	9,8	9,8
Nakillo	10	9,77	9,76	9,7	9,7	9,6
Oldboy	9,79	9,61	9,56	9,5	9,5	9,4
JediSevillano	9,75	9,55	9,5	9,4	9,4	9,4
Lucas Escaivazquez	9,67	9,57	9,52	9,5	9,5	9,4
JokerVerde	9,53	9,31	9,22	9,2	9,1
Dante	9,36	9,24	9,21	9,1	9,1	9,1
Mol Eliza	9,24	9,13	9,11	9	9	9
Varon John Eden	9,15	8,98	8,93	8,8	8,8	8,8
wSS DE	9,06	8,96	8,95	8,9	8,9	8,9
Cerilio	9,06	8,95	8,95	8,9	8,8	8,8
Marblagar	8,93	8,75	8,73	8,7	8,7	8,6
cafre	8,8	8,79	8,78	8,7	8,7	8,7
Dark imdroc	8,8	8,57	8,56	8,4	8,4	8,4
Pas Pain	8,73	8,6	8,58	8,5	8,5	8,5
Bald Dart	8,39	8,24	8,18	8,1	8,1	8
PaulSkywalker95	8,21	8,02	7,98	7,9	7,9	7,9
Halcon 39	8,16	8,09	8,07	8	8	8
Temnyy	8,09	7,84	7,8	7,7	7,7	7,7
Dass Jenir	7,77	7,45	7,42	7,4	7,4	7,3
Dace Joy	7,63	7,54	7,54	7,5	7,5	7,5
ELDIEGO64	7,55
ALEX TANO	7,41
Darkguderian	7,34	7,15	7,09	7	7	6,9
obi1 obi2 obi123	7,33	7,28	7,28	7,2	7,2	7,2
Khando	7,16	7,03	7,01	6,9	6,9	6,9
Kairas	7,13	6,94	6,91	6,8	6,8	6,8
Charly	6,14	6,02	6,02	5,9	5,9	5,9
Aguilet	5,88	4,54	4,26	4,2