Jugador	30/06/2025	23/06/2025	16/06/2025	09/06/2025	02/06/2025	26/05/2025	19/05/2025	12/05/2025	05/05/2025	28/04/2024	21/04/2025	14/04/2025	07/04/2025
Blas	1286798	1282598	1278398	1274198	1269998	1265798	1261598	1257398	1253198	1248998	1244882	1240598	1236398
Viula Dourshe	1115538	1111338	1107138	1102938	1098738	1094538	1090338	1086138	1081938	1077738	1073538	1069338	1065138
Dark imdroc	1075742	1071696	1067636	1063578	1059378	1055168	1050958	1046838	1042572	1038068	1034338	1030376	1026776
Mariskal101DA	1010652	1006428	1002252	998052	993852	989561	985270	981252	977052	972852	968722	964452	960252
Maath JTM Faselli	797044	792844	788644	784444	780244	776044	771844	767644	763444	759244	755044	750844	746644
Peleas	785494	781294	777094	772894	768694	764494	760294	756094	751894	747694	743494	739294	735094
Ben	735042	730738	726534	722472	718272	714072	709872	705672	701472	697272	693506	688794	684672
Cal Kestis	649640	645440	641240	637040	633274	629215	625156	621774	617574	613374	609418	605218	601582
Temnyy	640650	637050	633450	629250	625050	621110	617170	612970	608676	604270	601210	596770	592570
PaulSkywalker95	618860	614660	610460	606260	604460	600260	596060	591860	587660	583460	579260	575060	570860
Oldboy	554242	549650	545842	541642	537442	533242	529042	524842	520642	516442	512290	508090	503890
Khando	476482	473490	470640	467788	466252	465298	464344	463074	460310	459142	456650	455310	454522
Marblagar	455398	451044	446998	442798	438598	434398	430198	425998	421798	417598	413848	409198	404998
R3CO	442332	438132	433932	429732	425420	421276	417132	412932	408732	404532	400672	396132	391932
Gita	424886	420686	416486	412288	408086	403886	399686	395074	391286	387204	383252	378804	374604
Kairas	339930	335704	331530	327366	323294	319118	314942	310742	306742	302800	299170	294472	290272
Dace Joy	306832	302632	298432	294232	290032	285832	281632	277432	273232	269032	264932	260632	256432
Hill	275038	270838	266638	262438	258438	254238	250038	245838	241638	237438	233520	229038	224978
Lucas Escaivazquez	273764	269500	265470	261352	257152	252912	248672	244554	240080	235966	231954	227548	223410
Halcon 39	241820	240350	237516	234516	231256	228585	225914	222914	220370	219170	217002	212802	209594
VIRUS	238432	234832	231232	227090	222764	219322	215880	213092	208892	205892	201912	198312	194712
GRANJEDI Tito1	199604	195404	191204	187004	182804	178604	174404	170204	166004	161804	157604	153404	149204
Mou topor	197482	193282	189082	184882	180682	176482	172282	168082	163882	159682	155806	151282	147082
JediSevillano	184688	180488	173756	172088	167888	163688	159488	155288	151088	146888	142688	138488	134288
Josepatches	178966	176566	173756	170156	166556	162731	158906	156010	151986	148386	145016	143336	140598
Cente	172736	168626	164426	160226	156026	151826	147626	143162	139226	135026	130986	126626	124426
Mol Eliza	158918	154730	151510	148422	144170	140248	136326	133038	128814	125094	121670	118150	114658
Dass Jenir	147130	142330	138740	134540	130360	126045	121730	117760	113760	109560	105450	101350	97150
Remus	142178	137968	133582	129752	125552	121352	117152	112952	108752	106722	103146	101346	97202
Mik Bat	141992	138048	133748	129648	125448	121268	117088	112888	108502	104488	100288	96186	91576
wSS DE	141992	137640	134040	130660	128272	124683	121094	119324	116324	113874	111146	107844	104546
cafre	125254	122440	120752	118352	115972	112278	108584	104984	101384	98146	95746	91844	89108
Nakillo	125254	122290	119088	115762	111726	107578	103430	99746	95698	91716	88608	83896	79876
Pas Pain	123550	119350	115850	112224	107688	103444	99200	95600	92000	88632	85196	80430	76830
Charly	104378	101920	100120	97440	94828	91798	88768	85900	83418	83418	80806	76976	75696
josmartini	76200	72000	67800	63600	59400	55200	51000	46800	42600	38384	34340	30000	25800
Darkguderian	75352	70944	67056	62866	58666	54466	50266	46066	41576	37666	33600	29400	25200
Mhann Uhdea	75000	70800	66600	62400	58200	54000	49800	45600	41400	37200	33600	28800	24600
Varon John Eden	61200	56636	52800	48600	44400	40200	36000	31800	27600	23370	19256	15000	10732
Cerilio	58706	55682	53582	49490	45546	42475	39404	36428	33592	30774	28194	24378	20808
Bald Dart	55800	51600	47400	43200	39000	34800	30600	26400	22200	18000	14008	9600	5400
MALAGA	54704	50504	46304	42104	37904	34004	30104	25904	22482	18282	14406	10482	6882
JokerVerde	49800	45600	41400	37200	33000	28800	24600	20400	16052	11928	8156	3588
PequeñoPadawan	42000	37800	33600	29400	25200	21000	16800	12600	7980	4200	120
Aguilet	34652	34052	31052	28668	27600	23372	19144	15000	10800	6600	2400
ALEX TANO	26400	22600	19800	16800	12600	8700	4800	1200
ELDIEGO64	23400	19200	15000	10800	6600	3300
obi1 obi2 obi123	18408	14208	10608	8208	5872	2936			342416	341816	340016	338816	337016
MALAGA 2	12700	9700	8600	5756	4312	2164	16